processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	
GBMA9664-15	KR132591	6170906	 	KR132591	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	taxon:9691	 	 	 	 	 	 	 	 	 	
GBMNE52840-22	MZ049426	16348408	Leopard1-H-COI-11.seq	 	Mined from GenBank, NCBI	BOLD:AAD6820	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMNE52841-22	MZ049427	16348409	Leopard2-H-COI-1.seq	 	Mined from GenBank, NCBI	BOLD:AAD6820	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
GBMNE53826-22	MZ099233	16349394	 	MZ099233	Mined from GenBank, NCBI	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73508	Panthera tigris	415354	Panthera tigris tigris	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
ZSILG244-21	ZSILG244-21	13841205	MT-3173	ZSILG244-21	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	23.5863	81.173	Coordinates from country centroid	 	India	 	 	 	
ZSILG609-22	ZSILG_ZS-3053	15231377	ZS-3053	ZSILG_ZS-3053	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG636-22	ZSILG_ZS-1827	15231405	ZS-1827	ZSILG_ZS-1827	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG640-22	ZSILG_ZS-3026	15231409	ZS-3026	ZSILG_ZS-3026	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG649-22	ZSILG_ZS-2383	15231419	ZS-2383	ZSILG_ZS-2383	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
ZSILG651-22	ZSILG_ZS-3041	15231421	ZS-3041	ZSILG_ZS-3041	Zoological Survey of India	 	18	Chordata	62	Mammalia	260	Carnivora	1420	Felidae	73480	Pantherinae	73481	Panthera	73504	Panthera pardus	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	India	 	 	 	
